fecha,sim_id,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_ree [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos
2025-03-04,153,4.757,147.175,-142.4181,-96.77,75.8853,55.8815,-130.6914,37.5608,-99.5886,58.3461,0.4,-0.6,97.2436,0.125,0.0,0.9327,21,6.4788,14.4037,50.6922,105.4189,1.7054,2.2314,2,1
2025-03-04,154,235.7202,147.175,88.5452,60.16,69.1125,66.3104,149.5417,29.2302,0.0,20.0142,1.2078,0.2078,96.3224,0.25,0.125,0.0,0,7.6879,7.7061,203.1346,34.4687,0.728,2.4677,6,1
2025-03-04,155,162.3305,147.175,15.1554,10.3,56.1989,111.154,29.544,33.8742,0.0,0.6923,0.9927,-0.0073,95.4254,0.125,0.0,0.0,0,12.887,7.0577,116.5737,50.9381,0.9776,1.0995,3,2
2025-03-04,156,346.6937,147.175,199.5186,135.57,63.6204,85.0514,233.841,35.4134,0.0,0.4056,0.9958,-0.0042,95.8996,0.0,0.0,0.0,0,9.8607,13.1286,216.6162,8.9482,1.0319,1.7468,2,2
2025-03-04,157,90.8549,147.175,-56.3202,-38.27,63.2533,115.5972,30.3176,34.4447,24.9703,58.8983,0.4,-0.6,98.1638,0.375,0.0,1.1597,26,13.4021,8.7259,117.4366,19.8102,1.7089,0.8089,9,1
2025-03-04,158,376.4163,147.175,229.2412,155.76,63.293,86.5875,304.7025,36.0425,8.0483,34.0761,0.6441,-0.3559,95.7525,0.125,0.0,0.0274,2,10.0388,9.0286,235.115,111.3785,1.157,1.2451,4,2
2025-03-04,159,144.3122,147.175,-2.8628,-1.95,74.0187,70.3156,92.4708,31.0546,14.9123,46.526,0.5162,-0.4838,96.1619,0.375,0.214,0.0913,4,8.1522,10.1588,151.5687,264.0143,1.0281,0.4885,7,3
2025-03-04,160,120.4353,147.175,-26.7397,-18.17,59.3386,96.2013,11.4254,26.9184,0.0,19.6116,1.2027,0.2027,96.7338,0.5,0.0,0.0,0,11.1534,9.9875,111.0452,24.1845,0.6272,0.7192,10,1
2025-03-04,161,44.8867,147.175,-102.2883,-69.5,67.4738,98.751,-67.66,36.6235,-2.4995,19.5541,0.8012,-0.1988,98.37,0.0,0.0,0.0507,3,11.449,7.7424,73.1972,23.6276,1.1165,2.7117,4,0
2025-03-04,162,85.8542,147.175,-61.3208,-41.67,71.2714,83.9939,7.2144,33.3409,1.6224,41.6622,0.5775,-0.4225,98.6012,0.25,0.125,0.1891,8,9.7381,7.625,107.9532,13.8516,1.1421,2.0602,4,2
2025-03-04,163,184.7052,147.175,37.5301,25.5,79.8117,109.6328,84.1704,37.6053,15.5333,35.7711,0.6434,-0.3566,100.2984,0.0,0.0,0.2536,9,12.7106,16.3901,140.6148,16.2125,1.3274,0.6268,2,2
2025-03-04,164,124.1193,147.175,-23.0557,-15.67,67.0747,89.6708,17.6163,30.4853,0.0,19.7572,1.2007,0.2007,98.4437,0.125,0.125,0.0,0,10.3962,6.438,114.4914,28.4273,0.7708,0.6736,4,2
2025-03-04,165,80.7603,147.175,-66.4148,-45.13,74.3233,83.3176,-36.0773,26.4552,0.0,14.3481,1.1499,0.1499,95.7412,0.5,0.125,0.0,0,9.6597,16.3233,73.1102,229.6486,0.6645,1.0708,6,3
2025-03-04,166,29.792,147.175,-117.3831,-79.76,73.2635,73.8681,-78.2942,30.5286,0.0,8.5169,1.0863,0.0863,98.6418,0.25,0.0,0.0,0,8.5641,10.4191,52.9303,107.9239,0.7628,0.6884,4,0
2025-03-04,167,-24.0204,147.175,-171.1954,-116.32,67.6708,89.542,-135.8767,34.188,-18.9257,30.0943,0.6918,-0.3082,97.639,0.25,0.2128,0.1788,6,10.3813,10.0819,43.1414,17.0302,1.2316,0.6211,4,2
2025-03-04,168,121.6998,147.175,-25.4752,-17.31,58.1799,93.6586,24.1409,27.5143,0.0,26.7653,1.2838,0.2838,94.3268,0.125,0.0,0.0,0,10.8586,10.0217,124.4656,111.6507,0.4851,1.3197,3,1
2025-03-04,169,84.5057,147.175,-62.6694,-42.58,72.117,92.2752,34.7446,34.4447,21.8828,58.3035,0.4,-0.6,97.1726,0.25,0.25,0.6041,18,10.6982,5.7221,118.0215,50.1698,1.4942,1.1385,4,3
2025-03-04,170,-20.9741,147.175,-168.1492,-114.25,68.4757,69.5797,-87.6355,35.7908,-18.9391,54.5423,0.4341,-0.5659,96.3783,0.125,0.125,0.2265,7,8.0669,7.8348,64.0438,62.0135,1.3017,1.1796,4,3
2025-03-04,171,110.0082,147.175,-37.1668,-25.25,64.9128,89.8623,-8.6737,29.7833,0.0,6.3099,1.0661,0.0661,95.4845,0.25,0.125,0.0,0,10.4184,11.3158,95.5849,153.977,0.8163,1.4458,6,5
2025-03-04,172,98.8507,147.175,-48.3243,-32.83,77.4987,105.3294,-20.2001,36.0027,-30.3785,58.1531,0.4,-0.6,96.9218,0.25,0.0,1.1345,24,12.2117,5.3182,93.798,160.8782,1.7512,0.6889,6,1
2025-03-04,173,220.7568,147.175,73.5818,50.0,61.5327,77.6771,143.497,29.3552,0.0,32.5948,1.342,0.342,95.3053,0.25,0.125,0.0,0,9.0057,6.99,196.1025,25.9124,0.7593,0.8186,2,3
2025-03-04,174,448.0525,147.175,300.8774,204.44,79.0161,77.1385,331.8346,32.7267,0.0,7.2099,0.9267,-0.0733,98.399,0.125,0.125,0.0,0,8.9433,9.1516,281.042,14.5533,0.9533,0.6933,5,3
2025-03-04,175,22.4454,147.175,-124.7296,-84.75,72.963,76.6126,366.9914,34.8933,400.7685,58.4598,0.4,-0.6,97.4329,0.214,0.125,1.2944,26,8.8823,4.7112,261.7824,329.1474,1.7918,1.035,4,2
