beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
250.8177,297.5671,-46.7493,-15.71,1.2891,192.2121,96.6191,15.1283,24.1742,1.2958,0.2958,81.7341,0.2092,0.2092,0.0,0,10.3263,122.4457,58.9133,0.6494,1.1055,1,3,False,38
257.1851,297.5671,-40.3819,-13.57,15.6948,176.3957,119.1757,19.1754,34.9056,0.59,-0.41,85.1357,0.193,0.0,1.2246,18,9.4766,113.5874,68.683,1.3933,1.1501,3,3,False,39
271.8992,297.5671,-25.6678,-8.63,23.0622,191.2062,110.1289,19.0486,33.4496,0.59,-0.41,81.5844,0.0,0.2092,0.1629,4,10.2722,111.9086,49.2932,1.1118,0.8969,1,3,False,40
290.6209,297.5671,-6.9462,-2.33,2.4799,192.9205,121.1128,18.9573,6.935,1.0838,0.0838,82.7719,0.0,0.0,0.0,0,10.3643,115.9856,52.9291,0.9878,1.2168,0,1,False,41
245.1159,297.5671,-52.4512,-17.63,12.9591,183.5581,101.2492,18.949,33.7015,0.59,-0.41,82.1987,0.25,0.0,0.3604,7,9.8614,109.5726,46.036,1.1378,0.9488,6,1,False,42
246.8323,297.5671,-50.7348,-17.05,10.3665,178.9505,87.8956,18.1857,12.1946,1.1503,0.1503,81.1407,0.0,0.0,0.0,0,9.6138,108.9476,48.4871,0.9044,0.8839,2,1,False,43
212.012,297.5671,-85.5551,-28.75,12.0681,181.6678,68.9209,17.2994,33.3454,0.59,-0.41,81.3302,0.6786,0.0,1.4651,23,9.7598,98.6695,49.393,1.2939,0.8058,5,0,False,44
248.8922,297.5671,-48.6749,-16.36,31.5763,181.1575,88.5286,18.1828,34.1873,0.59,-0.41,83.3838,0.5,0.0,0.6585,12,9.7324,109.241,46.8902,1.2368,1.3326,5,5,False,45
366.4123,297.5671,68.8452,23.14,-0.1919,187.7106,212.2111,18.2077,15.1098,1.1827,0.1827,82.7035,0.0,0.0,0.0,0,10.0844,143.4481,49.3829,0.8837,1.3446,0,0,False,46
363.807,297.5671,66.24,22.26,8.6016,187.0391,187.8502,19.0008,0.6831,1.0084,0.0084,81.3198,0.0,0.0,0.0,0,10.0484,131.2722,40.8027,0.9947,1.1113,2,1,False,47
