beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
195.2409,297.5671,-102.3261,-34.39,0.6138,223.5915,12.3836,15.9967,25.3512,1.2786,0.2786,91.0011,0.25,0.443,0.0,0,12.0121,99.7678,32.5407,0.876,0.7405,9,8,True,40
314.2827,297.5671,16.7156,5.62,58.5532,195.7656,133.5866,15.0174,58.6054,0.365,-0.635,92.2919,0.9592,0.5,5.4887,47,10.5172,130.8883,48.7028,2.2327,1.167,10,5,True,41
84.5231,297.5671,-213.044,-71.6,-38.3659,194.383,2.0328,13.4057,60.1212,1.7081,0.7081,84.9063,0.2092,0.3848,0.0,0,10.4429,90.1274,31.196,0.5122,1.0888,13,8,True,42
218.5276,297.5671,-79.0394,-26.56,-23.5026,162.416,141.8938,17.5352,44.7444,0.4816,-0.5184,86.3165,0.75,0.0,0.0,0,8.7255,125.1719,65.0644,1.0645,1.505,7,6,True,43
252.8096,297.5671,-44.7574,-15.04,19.0437,283.4232,29.993,12.8331,66.8171,1.7838,0.7838,85.2472,0.9021,0.0,0.0,0,15.2264,106.6232,40.7682,0.4845,1.4768,11,2,True,44
189.944,297.5671,-107.623,-36.17,30.0398,150.9682,80.6291,17.801,53.8921,0.365,-0.635,84.8694,0.7092,0.2092,9.5821,55,8.1105,103.3991,71.1077,3.4817,4.0885,11,6,True,45
379.009,297.5671,81.442,27.37,54.1082,154.8859,242.5034,16.9656,55.5228,0.365,-0.635,87.4376,0.5,0.5,1.0147,15,8.321,156.1056,44.0901,1.2667,1.852,6,6,True,46
257.6496,297.5671,-39.9175,-13.41,16.3453,194.8519,118.4976,13.0402,59.0051,1.6786,0.6786,86.9472,0.7092,0.1156,0.0,0,10.4681,149.9382,49.6163,0.5244,2.1217,12,8,True,47
261.4963,297.5671,-36.0707,-12.12,78.2039,223.0669,7.8904,13.1522,34.5126,1.3731,0.3731,92.5074,0.8429,0.5,0.0,0,11.9839,103.3286,59.0657,0.6463,1.2348,15,5,True,48
490.3162,297.5671,192.7491,64.78,38.0898,215.0156,308.8177,16.5622,55.0447,0.365,-0.635,86.6845,0.9699,0.0,0.6681,12,11.5514,168.6169,63.7851,1.1107,0.6873,12,1,True,49
290.218,297.5671,-7.3491,-2.47,20.0778,189.0864,131.9308,14.6017,36.2754,0.59,-0.41,88.4766,1.1683,0.25,1.4217,23,10.1584,123.8596,32.9333,1.2272,0.7606,14,6,True,50
