beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
2.4592,37.7885,-35.3293,-93.49,-20.9073,126.3097,-68.8335,15.4303,18.6794,0.855,-0.145,128.7871,0.25,0.0,0.0,0,9.6138,103.7488,60.3019,0.9768,1.0171,3,1,False,37
83.6566,37.7885,45.8681,121.38,-30.1542,135.671,-5.3798,12.8899,3.5906,1.0283,0.0283,127.0668,0.2182,0.25,0.0,0,10.3263,122.4457,58.9133,0.6494,1.1055,1,3,False,38
-43.651,37.7885,-81.4395,-215.51,-57.1834,124.5072,-62.8391,16.5047,31.631,0.7609,-0.2391,132.2675,0.0,0.25,0.6706,11,9.4766,113.5874,68.683,1.3933,1.1501,3,3,False,39
-28.6741,37.7885,-66.4626,-175.88,-18.5381,134.9611,-49.5222,15.4916,80.0832,0.3683,-0.6317,126.7661,0.25,0.2251,0.0969,2,10.2722,111.9086,49.2932,1.1118,0.8969,1,3,False,40
46.1149,37.7885,8.3264,22.03,-35.976,136.1711,-37.3852,15.999,0.696,1.0054,0.0054,128.7716,0.0,0.0,0.0,0,10.3643,115.9856,52.9291,0.9878,1.2168,0,1,False,41
-54.2979,37.7885,-92.0864,-243.69,-55.0849,129.5627,-54.0663,15.9927,58.7167,0.5425,-0.4575,128.3463,0.25,0.0,0.1503,3,9.8614,109.5726,46.036,1.1378,0.9488,6,1,False,42
30.9355,37.7885,-6.853,-18.14,-37.2387,126.3105,-37.924,14.8753,5.337,1.0425,0.0425,125.5513,0.25,0.0,0.0,0,9.6138,108.9476,48.4871,0.9044,0.8839,2,1,False,43
-125.5726,37.7885,-163.3611,-432.3,-67.1323,128.2285,-86.1689,16.3666,84.1331,0.3348,-0.6652,126.4764,0.25,0.0,0.514,10,9.7598,98.6695,49.393,1.2939,0.8058,5,0,False,44
-89.5092,37.7885,-127.2977,-336.87,-39.4389,127.8683,-54.5333,13.9773,109.428,0.1539,-0.8461,129.3306,0.5,0.5,0.636,10,9.7324,109.241,46.8902,1.2368,1.3326,5,5,False,45
82.3668,37.7885,44.5783,117.97,-80.9293,132.4937,52.8013,15.3542,6.6448,1.0517,0.0517,128.587,0.0,0.0,0.0,0,10.0844,143.4481,49.3829,0.8837,1.3446,0,0,False,46
83.3018,37.7885,45.5133,120.44,-48.0876,132.0197,15.5944,15.9239,0.3008,1.0024,0.0024,126.6018,0.0,0.0,0.0,0,10.0484,131.2722,40.8027,0.9947,1.1113,2,1,False,47
-47.093,37.7885,-84.8815,-224.62,-34.0077,131.2353,-77.9231,16.7758,49.6218,0.6103,-0.3897,127.3233,0.0,0.0,0.2845,7,9.9887,103.0117,42.0773,1.2285,1.0445,3,1,False,48
56.0677,37.7885,18.2792,48.37,-41.8092,133.9573,-16.6306,15.1097,4.3401,1.0331,0.0331,131.0514,0.25,0.25,0.1781,4,10.1958,123.5052,45.2229,1.0839,0.9672,4,2,False,49
15.6757,37.7885,-22.1128,-58.52,-31.6422,128.548,-46.0643,15.4493,19.7164,0.8444,-0.1556,126.7171,0.0,0.25,0.0836,2,9.7841,110.2612,46.656,1.0068,0.9828,4,1,False,50
12.7047,37.7885,-25.0838,-66.38,-51.5976,123.7678,-34.5901,13.7666,11.1088,1.087,0.087,127.6276,0.5,0.0,0.0,0,9.4203,112.5164,62.9315,0.8042,1.2246,5,1,False,51
-60.5674,37.7885,-98.3559,-260.28,-80.1416,132.6209,-32.3453,16.0716,64.6298,0.4987,-0.5013,128.9293,0.0,0.25,0.2446,6,10.0941,117.3325,53.3411,1.1818,0.9863,5,3,False,52
35.6365,37.7885,-2.152,-5.69,-16.1322,132.7324,-58.6172,15.8768,6.4696,1.0503,0.0503,128.6188,0.0,0.0,0.0,0,10.1026,108.1393,50.3674,1.0022,1.2647,2,2,False,53
1.1687,37.7885,-36.6198,-96.91,-54.5911,139.5344,22.9482,14.7749,91.948,0.2774,-0.7226,127.2502,0.4682,0.25,0.7513,14,10.6203,129.6399,53.5013,1.3413,1.1225,8,4,False,54
27.1684,37.7885,-10.6201,-28.1,-36.0225,124.9244,-7.0411,13.927,40.7654,0.6846,-0.3154,129.2447,0.75,0.0,0.0,0,9.5083,123.1512,52.885,0.9497,0.8928,7,3,False,55
