fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],energia_no_cargada [MWh],energia_no_operada [MWh],intervalos_soc_critico,soc_final [MWh],soc_final_desv [MWh],pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-10-19,141,normal,565.7794,592.3098,-26.5305,-4.48,99.4629,188.6445,295.0765,17.4045,0.3086,0.0,0,1.0865,0.0865,9.962,114.5093,60.4702,0.9113,0.9153,4,0,False
2025-10-19,142,normal,560.8248,592.3098,-31.4851,-5.32,95.1291,184.1125,300.3393,18.7563,0.0,0.0,0,1.0367,0.0367,9.7226,110.4911,47.4863,0.9759,1.1633,5,0,False
2025-10-19,143,normal,517.7667,592.3098,-74.5431,-12.59,99.2557,185.1184,251.8021,18.4094,0.0,0.0,0,1.0999,0.0999,9.7757,102.1613,49.7841,0.931,1.2351,4,0,False
2025-10-19,144,normal,554.2615,592.3098,-38.0483,-6.42,100.723,186.2905,284.6355,17.3874,0.0,0.25,0,1.1556,0.1556,9.8376,114.7227,50.0448,0.8885,1.1067,2,2,False
2025-10-19,145,normal,639.0344,592.3098,46.7246,7.89,96.2785,175.4289,386.9006,19.5737,0.25,0.0,8,0.5146,-0.4854,9.2641,116.8537,54.7674,1.1573,0.9852,9,1,False
2025-10-19,146,normal,603.3584,592.3098,11.0486,1.87,94.398,194.2361,333.3025,18.5781,0.0,0.0,0,1.0916,0.0916,10.2572,119.5947,45.9632,0.9826,1.1556,2,2,False
2025-10-19,147,normal,582.0512,592.3098,-10.2586,-1.73,99.4847,176.8263,324.2771,18.5369,0.2092,0.0,5,0.7733,-0.2267,9.3379,112.6874,50.5916,1.0353,1.067,6,2,False
2025-10-19,148,normal,605.2341,592.3098,12.9243,2.18,91.9251,194.0776,338.1502,18.9188,0.2092,0.0,4,0.6752,-0.3248,10.2489,113.0764,47.1732,1.1132,1.084,3,4,False
2025-10-19,149,normal,565.7104,592.3098,-26.5994,-4.49,103.5914,200.6797,278.5721,17.1327,0.5781,0.0,0,0.7719,-0.2281,10.5975,110.0006,48.2459,0.9472,1.0987,8,1,False
2025-10-19,150,normal,706.6823,592.3098,114.3725,19.31,95.5189,200.763,430.3853,19.9849,0.5,0.0,18,0.5183,-0.4817,10.6019,120.3268,54.2317,1.2399,1.1571,6,0,False
2025-10-19,151,normal,608.6333,592.3098,16.3234,2.76,93.5947,187.9327,346.1697,19.0639,0.0,0.0,0,0.771,-0.229,9.9244,116.5898,50.2048,1.066,0.7098,6,2,False
2025-10-19,152,normal,706.3396,592.3098,114.0298,19.25,98.0299,186.8373,440.1192,18.6468,0.0,0.193,5,0.7644,-0.2356,9.8665,140.343,52.7253,1.0362,0.9706,3,2,False
2025-10-19,153,normal,671.1247,592.3098,78.8149,13.31,92.5545,171.3398,427.9157,20.6853,0.0,0.0,11,0.5164,-0.4836,9.0481,121.1142,46.6439,1.2262,1.0698,8,1,False
2025-10-19,154,normal,606.1389,592.3098,13.8291,2.33,103.7946,189.5285,330.243,17.4272,0.25,0.0,0,1.1478,0.1478,10.0086,125.3024,63.075,0.8911,0.9118,7,0,False
2025-10-19,155,normal,526.3605,592.3098,-65.9493,-11.13,97.2854,189.0828,256.9535,16.9611,0.193,0.25,0,1.1614,0.1614,9.9851,107.1528,49.9912,0.8849,1.1478,4,2,False
2025-10-19,156,normal,595.3334,592.3098,3.0236,0.51,90.8303,203.7718,319.7226,18.9913,0.0,0.0,0,0.9627,-0.0373,10.7608,111.418,47.3139,1.0099,1.046,5,0,False
2025-10-19,157,normal,587.7155,592.3098,-4.5943,-0.78,98.014,177.3781,329.5814,17.2579,0.1156,0.0,0,1.1364,0.1364,9.367,130.3899,50.8105,0.8693,0.9271,9,2,False
2025-10-19,158,normal,570.8514,592.3098,-21.4584,-3.62,104.095,208.4974,277.0786,18.8196,0.25,0.0,0,0.6108,-0.3892,11.0103,101.5079,47.4963,1.0877,1.1691,4,3,False
