fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],energia_no_cargada [MWh],energia_no_operada [MWh],intervalos_soc_critico,soc_final [MWh],soc_final_desv [MWh],pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2026-02-04,112,normal,657.757,650.4593,7.2977,1.12,74.7608,174.5691,427.1218,18.6946,0.25,0.0,0,0.734,-0.266,9.1974,118.1194,49.2494,1.0462,1.2028,4,2,False
2026-02-04,113,normal,774.9866,650.4593,124.5273,19.14,79.6695,172.5734,545.0698,22.3261,0.25,0.25,27,0.486,-0.514,9.0922,105.7227,53.5884,1.5151,0.9885,8,1,False
2026-02-04,114,normal,669.358,650.4593,18.8987,2.91,79.2016,192.2535,414.6293,16.7264,0.5,0.25,0,0.8034,-0.1966,10.1291,127.95,47.1765,0.9311,1.1605,4,3,False
2026-02-04,115,normal,619.3788,650.4593,-31.0805,-4.78,80.0322,181.865,374.1097,16.628,0.3519,0.25,0,1.0392,0.0392,9.5818,120.0873,55.9498,0.8973,1.0536,5,3,False
2026-02-04,116,normal,729.2094,650.4593,78.75,12.11,73.3288,202.9609,473.4203,20.5007,0.0,0.0,8,0.7153,-0.2847,10.6932,114.0415,45.5119,1.1746,1.1338,9,0,False
2026-02-04,117,normal,733.8472,650.4593,83.3879,12.82,76.2047,197.4815,479.6769,19.5158,0.25,0.25,13,0.4842,-0.5158,10.4045,114.6459,47.9305,1.2037,0.9276,7,2,False
2026-02-04,118,normal,783.8895,650.4593,133.4302,20.51,80.357,193.9671,530.6744,21.109,0.25,0.0,19,0.7083,-0.2917,10.2194,116.1214,50.1053,1.336,0.8966,4,1,False
2026-02-04,119,normal,664.4223,650.4593,13.963,2.15,80.1927,185.7343,417.9514,19.4561,0.0,0.0,0,0.8627,-0.1373,9.7856,114.456,48.7863,1.0569,1.3143,6,1,False
2026-02-04,120,normal,568.5634,650.4593,-81.8959,-12.59,78.4992,189.8092,315.9604,15.7055,0.561,0.5,1,0.59,-0.41,10.0003,104.6086,51.0561,0.8919,0.9243,11,3,False
2026-02-04,121,normal,761.0765,650.4593,110.6172,17.01,79.4473,180.8752,522.4052,21.6511,0.0,0.0,16,0.711,-0.289,9.5296,114.1394,56.5548,1.3362,0.989,4,1,False
2026-02-04,122,normal,679.0577,650.4593,28.5984,4.4,79.4723,186.9248,431.9687,19.3081,0.0321,0.0,2,0.7083,-0.2917,9.8483,116.5869,42.7941,1.064,0.8989,3,0,False
2026-02-04,123,normal,669.4363,650.4593,18.977,2.92,77.4867,178.1038,433.1144,19.2686,0.0,0.0,0,0.813,-0.187,9.3836,117.9865,47.5668,1.0833,0.9636,3,3,False
2026-02-04,124,normal,762.7966,650.4593,112.3373,17.27,79.2496,187.5133,513.4222,17.3885,1.1259,0.0,16,0.721,-0.279,9.8793,132.6451,46.4911,1.1026,1.3265,6,2,False
2026-02-04,125,normal,608.801,650.4593,-41.6583,-6.4,80.6747,176.9658,369.7841,18.6236,0.0,0.0,0,1.0298,0.0298,9.3236,111.1213,51.7888,0.9828,1.093,3,2,False
2026-02-04,126,normal,561.3348,650.4593,-89.1245,-13.7,75.4945,211.7481,290.8975,16.8054,0.25,0.0,0,1.2477,0.2477,11.1562,103.4089,54.5043,0.8386,0.7981,6,2,False
2026-02-04,127,normal,558.4135,650.4593,-92.0458,-14.15,77.3895,200.16,298.689,17.825,0.0,0.0,0,1.2493,0.2493,10.5456,100.4612,47.5231,0.878,1.0058,3,1,False
2026-02-04,128,normal,669.4052,650.4593,18.9459,2.91,76.6486,182.5327,428.8828,18.6589,0.6442,0.25,19,0.7149,-0.2851,9.6169,105.5019,54.9575,1.1753,1.1193,8,1,False
2026-02-04,129,normal,694.0144,650.4593,43.5551,6.7,79.0936,188.8216,444.5863,18.4871,0.3759,0.25,12,0.7141,-0.2859,9.9483,116.2338,45.0942,1.094,1.0943,8,1,False
2026-02-04,130,normal,740.0185,650.4593,89.5592,13.77,77.8891,189.197,491.7371,18.8048,0.8759,0.0,19,0.7166,-0.2834,9.968,118.316,50.0433,1.2205,1.177,10,2,False
2026-02-04,131,normal,564.2903,650.4593,-86.169,-13.25,77.2657,188.761,315.6952,17.4316,0.0,0.0,0,1.2903,0.2903,9.9451,109.7905,55.9214,0.8165,1.0647,3,0,False
2026-02-04,132,normal,695.0758,650.4593,44.6165,6.86,77.31,188.8501,447.5192,18.6036,0.25,0.0,1,0.712,-0.288,9.9498,123.2863,45.2187,1.0599,1.0212,4,3,False
2026-02-04,133,normal,535.571,650.4593,-114.8883,-17.66,76.3746,193.0144,283.2844,17.1023,0.0,0.25,0,1.2494,0.2494,10.1692,98.3505,49.5064,0.8451,1.2055,6,2,False
2026-02-04,134,normal,666.722,650.4593,16.2627,2.5,81.4885,195.8165,405.7237,16.3067,0.4592,0.25,0,1.0009,0.0009,10.3168,130.882,62.4941,0.8599,0.9307,7,1,False
2026-02-04,135,normal,515.0768,650.4593,-135.3826,-20.81,78.1447,184.2802,269.4942,16.8424,0.0,0.0,0,1.4121,0.4121,9.709,103.062,45.5224,0.7674,0.8762,4,1,False
2026-02-04,136,normal,554.5609,650.4593,-95.8984,-14.74,75.4473,202.4039,293.118,16.4082,0.0,0.25,0,1.3663,0.3663,10.6639,109.4541,46.9882,0.7645,0.875,3,1,False
2026-02-04,137,normal,575.2251,650.4593,-75.2343,-11.57,79.4197,185.413,327.9282,17.5358,0.0,0.0,0,1.228,0.228,9.7687,112.3831,51.4795,0.8519,0.8437,6,1,False
2026-02-04,138,normal,569.759,650.4593,-80.7003,-12.41,78.5204,184.0874,325.9256,18.7743,0.0,0.0,0,1.0273,0.0273,9.6988,98.4581,54.1463,0.9851,1.1295,5,1,False
2026-02-04,139,normal,530.6272,650.4593,-119.8321,-18.42,76.2708,182.8896,287.7132,16.2464,0.25,0.0,0,1.4043,0.4043,9.6357,110.4951,53.5354,0.7445,1.095,4,1,False
2026-02-04,140,normal,688.6616,650.4593,38.2023,5.87,80.2485,162.6264,464.7319,18.9453,0.0,0.0,0,0.918,-0.082,8.5681,128.9449,63.8181,1.0494,0.8539,0,3,False
2026-02-04,141,normal,718.6857,650.4593,68.2264,10.49,78.1357,202.2228,457.8013,19.4741,0.0,0.5,14,0.7113,-0.2887,10.6543,112.0634,48.5389,1.1951,0.998,3,3,False
2026-02-04,142,normal,544.9273,650.4593,-105.532,-16.22,78.94,181.1168,303.2024,18.3319,0.0,0.0,0,1.1179,0.1179,9.5423,97.1408,49.0218,0.9252,1.0132,2,0,False
2026-02-04,143,normal,655.3507,650.4593,4.8914,0.75,80.6018,206.6277,384.7444,16.6232,0.4351,0.25,0,0.8029,-0.1971,10.8864,122.1468,52.691,0.8861,1.0689,4,1,False
2026-02-04,144,normal,608.0838,650.4593,-42.3755,-6.51,76.9834,181.4174,367.9904,18.3073,0.25,0.0,0,0.7728,-0.2272,9.5582,106.9572,43.5172,1.0061,0.8007,3,1,False
2026-02-04,145,normal,589.3902,650.4593,-61.0691,-9.39,78.9772,178.5507,349.5912,17.729,0.0,0.0,0,1.2129,0.2129,9.4071,116.0443,54.8881,0.8651,1.0333,4,1,False
2026-02-04,146,normal,805.7329,650.4593,155.2736,23.87,75.8152,190.9098,557.5581,18.5502,0.5,0.1259,11,0.7234,-0.2766,10.0583,140.0458,43.6589,1.1027,1.4073,5,2,False
2026-02-04,147,normal,725.2353,650.4593,74.776,11.5,76.5172,199.2237,468.166,18.6717,0.0,0.25,0,0.7521,-0.2479,10.4963,127.5843,54.5728,1.0133,1.2244,4,1,False
2026-02-04,148,normal,625.3946,650.4593,-25.0647,-3.85,77.804,191.8135,371.8671,16.09,0.75,0.0,0,0.9785,-0.0215,10.1059,123.7287,54.3179,0.8488,1.0288,4,1,False
2026-02-04,149,normal,683.943,650.4593,33.4837,5.15,75.7628,213.2256,413.681,18.7264,0.25,0.0,0,0.6778,-0.3222,11.234,114.2438,53.4227,1.0398,1.1148,6,1,False
2026-02-04,150,normal,581.8513,650.4593,-68.6081,-10.55,80.7258,194.8305,322.8263,16.5314,0.75,0.0,0,0.8378,-0.1622,10.2649,105.6979,49.4894,0.9034,0.9921,3,1,False
2026-02-04,151,normal,721.0953,650.4593,70.636,10.86,77.9602,195.768,465.9683,18.6012,0.0,0.25,1,0.7102,-0.2898,10.3142,127.7254,42.9049,1.0476,0.9625,1,3,False
2026-02-04,152,normal,693.7555,650.4593,43.2962,6.66,78.8255,192.0915,440.4816,17.643,0.25,0.25,0,0.7743,-0.2257,10.1205,127.2828,61.1944,0.9969,1.1406,5,4,False
2026-02-04,153,normal,601.1239,650.4593,-49.3354,-7.58,78.8435,207.2324,331.73,16.682,0.25,0.25,0,1.2403,0.2403,10.9183,112.0656,45.9622,0.8477,1.0314,7,1,False
2026-02-04,154,normal,665.2884,650.4593,14.8291,2.28,79.8155,194.4535,410.584,19.5646,0.0,0.0,0,0.7166,-0.2834,10.245,110.4927,59.8404,1.0801,1.1188,3,1,False
2026-02-04,155,normal,629.9097,650.4593,-20.5496,-3.16,76.8513,196.6335,374.0434,17.6185,0.0,0.0321,0,1.2312,0.2312,10.3598,121.6979,45.2783,0.8884,0.9257,3,3,False
2026-02-04,156,normal,541.8636,650.4593,-108.5957,-16.7,79.3871,196.8652,282.1881,16.5767,0.25,0.0,0,1.3321,0.3321,10.3721,104.3042,49.6673,0.82,0.8475,5,3,False
2026-02-04,157,normal,631.4282,650.4593,-19.0312,-2.93,78.2601,185.3672,386.8771,19.0762,0.0,0.0,0,0.9195,-0.0805,9.7663,109.7156,47.9628,1.0155,0.9627,3,0,False
2026-02-04,158,normal,607.9738,650.4593,-42.4855,-6.53,79.7162,192.1386,353.4408,17.3218,0.25,0.4592,6,0.7038,-0.2962,10.123,105.4362,46.891,1.0168,0.7471,6,4,False
2026-02-04,159,normal,706.3326,650.4593,55.8733,8.59,83.356,195.0524,446.6074,18.6831,0.0,0.25,3,0.7096,-0.2904,10.2765,124.1692,41.1153,1.0437,0.9411,5,2,False
2026-02-04,160,normal,700.2269,650.4593,49.7676,7.65,79.2634,197.8746,441.84,18.7511,0.6259,0.0,13,0.7115,-0.2885,10.4252,112.0815,47.8346,1.145,1.0058,9,1,False
2026-02-04,161,normal,620.0707,650.4593,-30.3887,-4.67,76.1486,201.2952,359.6084,16.9816,0.0,0.0,0,1.3718,0.3718,10.6055,128.5401,54.6187,0.7975,1.0478,3,3,False
2026-02-04,162,normal,559.3644,650.4593,-91.095,-14.0,80.3804,199.8283,296.0576,16.902,0.3519,0.25,0,0.7973,-0.2027,10.5282,96.8427,58.9792,0.9086,0.9632,4,1,False
2026-02-04,163,normal,581.633,650.4593,-68.8264,-10.58,79.1998,182.6472,338.5799,18.794,0.25,0.0,2,0.7139,-0.2861,9.623,97.242,47.2356,1.0494,1.0862,6,1,False
2026-02-04,164,normal,639.828,650.4593,-10.6313,-1.63,75.2765,192.4062,390.3233,18.178,0.25,0.25,0,0.5187,-0.4813,10.1371,109.665,42.3467,1.0294,1.2039,6,2,False
2026-02-04,165,normal,681.6648,650.4593,31.2055,4.8,78.3323,202.1429,419.0187,17.8291,0.6259,0.25,9,0.4942,-0.5058,10.6501,112.1265,47.701,1.0828,1.2642,5,2,False
2026-02-04,166,normal,704.9132,650.4593,54.4539,8.37,81.3508,185.0329,455.456,16.9265,0.3759,0.25,1,0.8869,-0.1131,9.7487,138.0588,55.4187,0.9251,1.0457,4,2,False
2026-02-04,167,normal,551.2795,650.4593,-99.1798,-15.25,81.0036,186.7371,300.3959,16.857,0.0321,0.1851,0,1.2782,0.2782,9.8384,107.2117,46.5417,0.8213,0.9122,4,1,False
2026-02-04,168,normal,571.1351,650.4593,-79.3243,-12.2,77.7356,201.9256,308.0053,16.5314,0.0,0.0,0,1.4705,0.4705,10.6387,120.0723,45.4499,0.7291,0.8983,6,1,False
